,pubchemCID,Unnamed: 0,Substance,smiles,compName
16,146679048.0,16,({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CS(=O)CC(=O)O)C,2-[2-[2-ethyl-6-methyl-N-(propan-2-yloxymethyl)anilino]-2-oxoethyl]sulfinylacetic acid
17,,17,({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,,
18,,18,(+)-13alpha-hydroxy-lupanine,,
19,5280655.0,19,(+)-13alpha-Tigloyloxylupanine,CC=C(C)C(=O)OC1CCN2CC3CC(C2C1)CN4C3CCCC4=O,"[(1R,2S,4S,9S,10R)-14-oxo-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-4-yl] (E)-2-methylbut-2-enoate"
20,91471.0,20,(+)-Lupanine,C1CCN2CC3CC(C2C1)CN4C3CCCC4=O,"(1S,2R,9S,10S)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-6-one"
21,,21,"(1R,2R,5S)-Isodihydrocarveol",,
22,,22,"(1R,2R,5S)-Isodihydrocarveol",,
23,,23,"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",,
24,,24,"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",,
25,,25,"(1R,2S,5R)-Menthyl hexanoate",,
26,,26,"(1R,2S,5R)-Menthyl hexanoate",,
27,,27,"(1R,2S,5R)-Menthyl salicylate",,
28,,28,"(1R,2S,5R)-Menthyl salicylate",,
29,,29,"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",,
30,,30,"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",,
31,,31,"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",,
32,,32,"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",,
33,,33,"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",,
34,,34,"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",,
35,,35,"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",,
36,,36,"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",,
37,,37,"(1R,2S,5S)-neo-Dihydrocarveol",,
38,,38,"(1R,2S,5S)-neo-Dihydrocarveol",,
39,,39,"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",,
40,,40,"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",,
41,,41,"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",,
42,159055.0,42,"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",CC1(C2CCC1(C(=O)C2)C)C,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one"
43,146679128.0,43,(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,C1CC1C2=NC(=NC(=C2)CO)N,(2-amino-6-cyclopropylpyrimidin-4-yl)methanol
44,,44,"(2E, 13Z)-Octadecadien-1-yl Acetate",,
45,,45,"(2E,7R,11R)-Phytol",,
46,,46,"(2E,7R,11R)-Phytyl acetate",,
47,6365451.0,47,(2E)-2-Nonenyl acetate,CCCCCCC=CCOC(=O)C,[(E)-non-2-enyl] acetate
48,6365451.0,48,(2E)-2-Nonenyl acetate,CCCCCCC=CCOC(=O)C,[(E)-non-2-enyl] acetate
49,165362759.0,49,(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C=CCO,(E)-3-(2-anilino-6-methylpyrimidin-4-yl)prop-2-en-1-ol
50,,50,(2E)-4-Dimethylpent-2-enoic acid,,
51,,51,(2E)-4-Dimethylpent-2-enoic acid,,
52,,52,(2E)-Geranyl phenylacetate,,
53,,53,(2E)-Geranyl phenylacetate,,
54,,54,(2E)-Methylcrotonic acid,,
55,,55,(2E)-Methylcrotonic acid,,
56,,56,"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",,
57,,57,"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",,
58,,58,"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",,
59,,59,(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,,
60,67096018.0,60,"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",CC1CCC(C(C1)C(=O)NC2=CC=C(C=C2)CC(=O)N)C(C)C,"(2S,5R)-N-[4-(2-amino-2-oxoethyl)phenyl]-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide"
61,,61,"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",,
62,,62,"(3S,6Z)-Nerolidyl acetate",,
63,,63,"(3S,6Z)-Nerolidyl acetate",,
64,,64,"(3S,6Z)-Nerolidyl acetate",,
65,,65,"(3S,6Z)-Nerolidyl acetate",,
66,,66,(3Z)-Hexenyl heptanoate,,
67,,67,(3Z)-Hexenyl heptanoate,,
68,,68,(3Z)-Hexenyl heptanoate,,
69,,69,(3Z)-Hexenyl heptanoate,,
70,,70,(3Z)-Hexenyl heptanoate,,
71,,71,(3Z)-Hexenyl methyl carbonate,,
72,,72,(3Z)-Hexenyl methyl carbonate,,
73,,73,(3Z)-Hexenyl methyl carbonate,,
74,,74,(3Z)-Hexenyl methyl carbonate,,
75,,75,(3Z)-Hexenyl methyl carbonate,,
76,,76,(3Z)-Nonen-1-ol,,
77,,77,(3Z)-Nonen-1-ol,,
78,,78,(3Z)-Nonen-1-ol,,
79,,79,(3Z)-Nonen-1-ol,,
80,,80,(4Z)-Hepten-1-ol,,
81,146677410.0,81,"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)O)O)OC,"(5-chloro-2-methoxy-4-methylpyridin-3-yl)-(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone"
82,,82,(5Z)-Decenal,,
83,,83,(5Z)-Decenal,,
84,,84,(5Z)-Decenal,,
85,,85,(5Z)-Decenal,,
86,,86,(5Z)-Octenylpropionate,,
87,,87,"(6E,10E)-Geranyl linalool",,
88,,88,"(6E,10E)-Geranyl linalool",,
89,,89,"(6E,10E)-Geranyl linalool",,
90,,90,"(6E,10E)-Geranyl linalool",,
91,135565261.0,91,"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.C(C(C(C(C(C=O)N)O)O)O)O.C(C(C(C(C(C=O)N)O)O)O)O,"(2S)-2-[[4-[[(6S)-2-amino-5-methyl-4-oxo-3,6,7,8-tetrahydropteridin-6-yl]methylamino]benzoyl]amino]pentanedioic acid;(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal"
92,146677528.0,92,"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",CCC1=NC2=NC=NN2C(=C1CC(=O)O)N,"2-(7-amino-5-ethyl-[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid"
93,,93,"(7E, 9Z)-Dodecadien-1-yl Acetate",,
94,,94,"(7E, 9Z)-Dodecadienyl Acetate and (7E, 9E)-Dodecadienyl Acetate mixture",,
95,,95,"(7Z, 11E)-Hexadecadien-1-yl Acetate",,
96,,96,"(7Z, 11Z)-Hexadecadien-1-yl acetate and (7Z, 11E)-Hexadecadien-1-yl acetate mixture",,
97,,97,"(8,9-Z)-isomer of avermectin B1a",,
98,,98,"(8,9-Z)-isomer of avermectin B1a",,
99,,99,"(9Z, 12E)-Tetradecadien-1-yl acetate",,
100,69884.0,100,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
101,69884.0,101,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
102,69884.0,102,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
103,69884.0,103,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
104,69884.0,104,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
105,5352876.0,105,"(E,E)-3,5-Octadien-2-one",CCC=CC=CC(=O)C,"(3E,5E)-octa-3,5-dien-2-one"
106,5352876.0,106,"(E,E)-3,5-Octadien-2-one",CCC=CC=CC(=O)C,"(3E,5E)-octa-3,5-dien-2-one"
107,1787910.0,107,"(E,E)-8,10-Dodecadien-1-ol",CC=CC=CCCCCCCCO,"(8E,10E)-dodeca-8,10-dien-1-ol"
108,1787910.0,108,"(E,E)-8,10-Dodecadien-1-ol",CC=CC=CCCCCCCCO,"(8E,10E)-dodeca-8,10-dien-1-ol"
109,,109,"(E,E)-Geranyl 2-methylcrotonate",,
110,,114,"(E,E)-piperidine",,
111,,115,"(E,E)-piperidine",,
112,,116,"(E,E)-piperidine",,
113,5363120.0,117,"(E,Z)-2,6-Nonadienyl acetate",CCC=CCCC=CCOC(=O)C,"[(2E,6Z)-nona-2,6-dienyl] acetate"
114,5363120.0,118,"(E,Z)-2,6-Nonadienyl acetate",CCC=CCCC=CCOC(=O)C,"[(2E,6Z)-nona-2,6-dienyl] acetate"
115,44630408.0,119,"(E,Z)-3,6-Nonadien-1-ol",CCC=CCC=CCCO,"(3E,6Z)-nona-3,6-dien-1-ol"
116,44630408.0,120,"(E,Z)-3,6-Nonadien-1-ol",CCC=CCC=CCCO,"(3E,6Z)-nona-3,6-dien-1-ol"
117,,121,"(E;Z)-3,6-Nonadien-1-ol, acetate",,
118,,122,"(E;Z)-3,6-Nonadien-1-ol, acetate",,
119,,123,"(E;Z)-3,6-Nonadien-1-ol, acetate",,
120,5367650.0,124,(E)-11-Tetradecenyl Acetate,CCC=CCCCCCCCCCCOC(=O)C,[(E)-tetradec-11-enyl] acetate
121,5362832.0,125,(E)-2-Methyl-1-methylthio-2-butene,CC=C(C)CSC,(E)-2-methyl-1-methylsulfanylbut-2-ene
122,,126,"(E)-3-benzo[1,3]dioxol-5-yl-N,N-diphenyl-2-propenamide",,
123,5366264.0,127,"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",CC(=C)C=CCC(C)(C=C)O,"(5E)-3,7-dimethylocta-1,5,7-trien-3-ol"
124,5366264.0,128,"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",CC(=C)C=CCC(C)(C=C)O,"(5E)-3,7-dimethylocta-1,5,7-trien-3-ol"
125,5363237.0,129,(E)-8-Dodecenyl Acetate,CCCC=CCCCCCCCOC(=O)C,[(E)-dodec-8-enyl] acetate
126,699489.0,130,(E)-Ethyl furfuracrylate,CCOC(=O)C=CC1=CC=CO1,ethyl (E)-3-(furan-2-yl)prop-2-enoate
127,699489.0,131,(E)-Ethyl furfuracrylate,CCOC(=O)C=CC1=CC=CO1,ethyl (E)-3-(furan-2-yl)prop-2-enoate
128,699489.0,132,(E)-Ethyl furfuracrylate,CCOC(=O)C=CC1=CC=CO1,ethyl (E)-3-(furan-2-yl)prop-2-enoate
129,5365850.0,133,(E)-Geranyl valerate,CCCCC(=O)OCC=C(C)CCC=C(C)C,"[(2E)-3,7-dimethylocta-2,6-dienyl] pentanoate"
130,1549778.0,134,(E)-Geranylacetone,CC(=CCCC(=CCCC(=O)C)C)C,"(5E)-6,10-dimethylundeca-5,9-dien-2-one"
131,1549778.0,135,(E)-Geranylacetone,CC(=CCCC(=CCCC(=O)C)C)C,"(5E)-6,10-dimethylundeca-5,9-dien-2-one"
132,,136,(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,,
133,,137,(l)-Alpha-bisabolol,,
134,,138,(l)-Alpha-bisabolol,,
135,5464156.0,139,(R)-(-)-Lavandulol,CC(=CCC(CO)C(=C)C)C,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol
136,5464156.0,140,(R)-(-)-Lavandulol,CC(=CCC(CO)C(=C)C)C,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol
137,5464156.0,141,(R)-(-)-Lavandulol,CC(=CCC(CO)C(=C)C)C,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol
138,5464156.0,142,(R)-(-)-Lavandulol,CC(=CCC(CO)C(=C)C)C,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol
139,5464156.0,143,(R)-(-)-Lavandulol,CC(=CCC(CO)C(=C)C)C,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol
140,,144,(R)-(+)-Sclareolide,,
141,,145,(R)-(+)-Sclareolide,,
142,,146,"(R)-N,N-Dimethylphenethylamine",,
143,,147,"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",,
144,,148,"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",,
145,12009861.0,149,(S)-1-Methoxy-3-heptanethiol,CCCCC(CCOC)S,(3S)-1-methoxyheptane-3-thiol
146,94386.0,150,(S)-Methyl lactate,CC(C(=O)OC)O,methyl (2S)-2-hydroxypropanoate
147,94386.0,151,(S)-Methyl lactate,CC(C(=O)OC)O,methyl (2S)-2-hydroxypropanoate
148,,152,"(Z,Z)-Nona-3,6-dien-1-ol",,
149,,153,"(Z,Z)-Nona-3,6-dien-1-ol",,
150,5283305.0,154,(Z)-11-Hexadecen-1-ol,CCCCC=CCCCCCCCCCCO,(Z)-hexadec-11-en-1-ol
151,5364711.0,155,(Z)-11-Hexadecen-1-yl Acetate,CCCCC=CCCCCCCCCCCOC(=O)C,[(Z)-hexadec-11-enyl] acetate
152,5367692.0,156,(Z)-11-Tetradecenyl Acetate,CCC=CCCCCCCCCCCOC(=O)C,[(Z)-tetradec-11-enyl] acetate
153,5352833.0,157,(Z)-4-Hepten-2-ol,CCC=CCC(C)O,(Z)-hept-4-en-2-ol
154,5352833.0,158,(Z)-4-Hepten-2-ol,CCC=CCC(C)O,(Z)-hept-4-en-2-ol
155,5352833.0,159,(Z)-4-Hepten-2-ol,CCC=CCC(C)O,(Z)-hept-4-en-2-ol
156,5352833.0,160,(Z)-4-Hepten-2-ol,CCC=CCC(C)O,(Z)-hept-4-en-2-ol
157,,161,(Z)-4-Hepten-2-yl butyrate,,
158,,162,(Z)-4-Hepten-2-yl butyrate,,
159,,163,(Z)-4-Hepten-2-yl butyrate,,
160,,164,(Z)-4-Hepten-2-yl butyrate,,
161,,165,(Z)-4-Hepten-2-yl butyrate,,
162,,166,(Z)-4-Hepten-2-yl butyrate,,
163,5352779.0,167,(Z)-5-Octen-2-one,CCC=CCCC(=O)C,(Z)-oct-5-en-2-one
164,5352779.0,168,(Z)-5-Octen-2-one,CCC=CCCC(=O)C,(Z)-oct-5-en-2-one
165,5352779.0,169,(Z)-5-Octen-2-one,CCC=CCCC(=O)C,(Z)-oct-5-en-2-one
166,5352779.0,170,(Z)-5-Octen-2-one,CCC=CCCC(=O)C,(Z)-oct-5-en-2-one
167,5352779.0,171,(Z)-5-Octen-2-one,CCC=CCCC(=O)C,(Z)-oct-5-en-2-one
168,5283295.0,172,(Z)-8-Dodecenol,CCCC=CCCCCCCCO,(Z)-dodec-8-en-1-ol
169,5363377.0,173,(Z)-8-Dodecenyl Acetate,CCCC=CCCCCCCCOC(=O)C,[(Z)-dodec-8-enyl] acetate
170,,174,(Z)-8-Dodecenyl Acetate and Dodecan-1-yl Acetate mixture,,
171,5363405.0,175,(Z)-9-Dodecenyl Acetate,CCC=CCCCCCCCCOC(=O)C,[(Z)-dodec-9-enyl] acetate
172,,176,(Z)-9-Dodecenyl Acetate and Dodecan-1-yl Acetate,,
173,5364714.0,177,(Z)-9-Tetradecenyl Acetate,CCCCC=CCCCCCCCCOC(=O)C,[(Z)-tetradec-9-enyl] acetate
174,,178,(Z)-Hex-3-enyl salicylate,,
175,,179,(Z)-Hex-3-enyl salicylate,,
176,,180,(Z)-Hex-3-enyl salicylate,,
177,,181,(Z)-Hex-3-enyl salicylate,,
178,,182,(Z)-Hex-3-enyl salicylate,,
179,643820.0,183,(Z)-Nerol,CC(=CCCC(=CCO)C)C,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol"
180,643820.0,184,(Z)-Nerol,CC(=CCCC(=CCO)C)C,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol"
181,643820.0,185,(Z)-Nerol,CC(=CCCC(=CCO)C)C,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol"
182,146677540.0,186,[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino](oxo)acetic acid,CCC1=CC=CC(=C1N(COC(C)C)C(=O)C(=O)O)C,2-[2-ethyl-6-methyl-N-(propan-2-yloxymethyl)anilino]-2-oxoacetic acid
183,146678286.0,187,[(6-Ethyl-3-hydroxy-2-methylphenyl)amino](oxo)acetic acid,CCC1=C(C(=C(C=C1)O)C)NC(=O)C(=O)O,2-(6-ethyl-3-hydroxy-2-methylanilino)-2-oxoacetic acid
184,15842091.0,188,[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino](oxo)acetic acid,CCC1=CC=CC(=C1N(COCC)C(=O)C(=O)O)C,2-[N-(ethoxymethyl)-2-ethyl-6-methylanilino]-2-oxoacetic acid
185,146679353.0,189,"[2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propoxy](difluoro)acetic acid",C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(=O)O)(F)F,"2-[2-(2,4-dichlorophenyl)-3-(1,2,4-triazol-1-yl)propoxy]-2,2-difluoroacetic acid"
186,,190,"[2-methyl-3,5-dinitro-4-(pentan-3-ylamino)phenyl]methanol (M455H025)",,
187,17318.0,191,[3-(Methacryloxy)propyl]trimethoxysilane,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,3-trimethoxysilylpropyl 2-methylprop-2-enoate
188,16058296.0,192,"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",CC(C)C(CCC(=O)C)C=CC(=C)C,"(5R,6E)-8-methyl-5-propan-2-ylnona-6,8-dien-2-one"
189,16058296.0,193,"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",CC(C)C(CCC(=O)C)C=CC(=C)C,"(5R,6E)-8-methyl-5-propan-2-ylnona-6,8-dien-2-one"
190,16058296.0,194,"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",CC(C)C(CCC(=O)C)C=CC(=C)C,"(5R,6E)-8-methyl-5-propan-2-ylnona-6,8-dien-2-one"
191,16058296.0,195,"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",CC(C)C(CCC(=O)C)C=CC(=C)C,"(5R,6E)-8-methyl-5-propan-2-ylnona-6,8-dien-2-one"
192,,196,"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",,
193,,197,"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",,
194,,198,"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",,
195,,199,"1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1H-1,2,4-triazol-5(4H)-one",,
196,,200,1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1Hpyrazole-5-sulfonic acid,,
197,57418123.0,201,1-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propanol,CC1=CC(=NC(=N1)NC2=CC=CC=C2)CC(C)O,1-(2-anilino-6-methylpyrimidin-4-yl)propan-2-ol
198,,202,1-(2-Methylbutoxy)-1-isopentyloxyethane,,
199,,203,1-(2-Methylbutoxy)-1-isopentyloxyethane,,
200,4165004.0,204,"1-(3,5-Dichlorophenyl)urea",C1=C(C=C(C=C1Cl)Cl)NC(=O)N,"(3,5-dichlorophenyl)urea"
201,,205,"1-(4,6-Dimethoxypyrimidin-2-yl)-1-[3-(trifluoromethyl)pyridin-2-yl]urea (DTPU)",,
202,,206,"1-amido-2-carboxy-4,5-cyclohexene",,
203,22235151.0,207,1-Benzyloxy-1-(2-methoxyethoxy)ethane,CC(OCCOC)OCC1=CC=CC=C1,1-(2-methoxyethoxy)ethoxymethylbenzene
204,22235151.0,208,1-Benzyloxy-1-(2-methoxyethoxy)ethane,CC(OCCOC)OCC1=CC=CC=C1,1-(2-methoxyethoxy)ethoxymethylbenzene
205,22235151.0,209,1-Benzyloxy-1-(2-methoxyethoxy)ethane,CC(OCCOC)OCC1=CC=CC=C1,1-(2-methoxyethoxy)ethoxymethylbenzene
206,,210,1-Butoxy-1-(2-methylbutoxy)ethane,,
207,,211,1-Butoxy-1-(2-methylbutoxy)ethane,,
208,552119.0,212,1-Butoxy-1-ethoxyethane,CCCCOC(C)OCC,1-(1-ethoxyethoxy)butane
209,552119.0,213,1-Butoxy-1-ethoxyethane,CCCCOC(C)OCC,1-(1-ethoxyethoxy)butane
210,53428090.0,214,1-Butoxy-1-isopentyloxyethane,CCCCOC(C)OCCC(C)C,1-(1-butoxyethoxy)-3-methylbutane
211,53428090.0,215,1-Butoxy-1-isopentyloxyethane,CCCCOC(C)OCCC(C)C,1-(1-butoxyethoxy)-3-methylbutane
212,8174.0,216,1-Decanol,CCCCCCCCCCO,decan-1-ol
213,53427914.0,217,1-Ethoxy-1-(2-methylbutoxy)ethane,CCC(C)COC(C)OCC,1-(1-ethoxyethoxy)-2-methylbutane
214,53427914.0,218,1-Ethoxy-1-(2-methylbutoxy)ethane,CCC(C)COC(C)OCC,1-(1-ethoxyethoxy)-2-methylbutane
215,,219,1-Ethoxy-1-(2-phenylethoxy)ethane,,
216,,220,1-Ethoxy-1-(3-hexenyloxy)ethane,,
217,,221,1-Ethoxy-1-(3-hexenyloxy)ethane,,
218,,222,1-Ethoxy-1-(3-hexenyloxy)ethane,,
219,146679297.0,223,1-Ethoxy-1-(3-methylbutoxy)-3-methylbutane,CCOC(CC(C)C)OCCC(C)C,1-ethoxy-3-methyl-1-(3-methylbutoxy)butane
220,146679297.0,224,1-Ethoxy-1-(3-methylbutoxy)-3-methylbutane,CCOC(CC(C)C)OCCC(C)C,1-ethoxy-3-methyl-1-(3-methylbutoxy)butane
221,108244.0,225,1-Ethoxy-1-hexyloxyethane,CCCCCCOC(C)OCC,1-(1-ethoxyethoxy)hexane
222,108244.0,226,1-Ethoxy-1-hexyloxyethane,CCCCCCOC(C)OCC,1-(1-ethoxyethoxy)hexane
223,,227,1-Ethoxy-1-isopentyloxyethane,,
224,,228,1-Ethoxy-1-isopentyloxyethane,,
225,25298.0,229,1-Ethoxy-1-methoxyethane,CCOC(C)OC,1-ethoxy-1-methoxyethane
226,25298.0,230,1-Ethoxy-1-methoxyethane,CCOC(C)OC,1-ethoxy-1-methoxyethane
227,19964037.0,231,1-Ethoxy-1-methoxypropane,CCC(OC)OCC,1-ethoxy-1-methoxypropane
228,19964037.0,232,1-Ethoxy-1-methoxypropane,CCC(OC)OCC,1-ethoxy-1-methoxypropane
229,,233,1-Ethoxy-1-pentyloxybutane,,
230,,234,1-Ethoxy-1-pentyloxybutane,,
231,114523.0,235,1-Ethoxy-1-pentyloxyethane,CCCCCOC(C)OCC,1-(1-ethoxyethoxy)pentane
232,114523.0,236,1-Ethoxy-1-pentyloxyethane,CCCCCOC(C)OCC,1-(1-ethoxyethoxy)pentane
233,30220.0,237,1-Ethoxy-1-propoxyethane,CCCOC(C)OCC,1-(1-ethoxyethoxy)propane
234,30220.0,238,1-Ethoxy-1-propoxyethane,CCCOC(C)OCC,1-(1-ethoxyethoxy)propane
235,,239,1-Ethoxy-2-methoxy-4-(prop-1-enyl)benzene,,
236,87170.0,240,1-Ethoxy-2-methoxybenzene,CCOC1=CC=CC=C1OC,1-ethoxy-2-methoxybenzene
237,53428112.0,241,1-Ethoxy-2-methyl-1-isopentyloxypropane,CCOC(C(C)C)OCCC(C)C,1-(1-ethoxy-2-methylpropoxy)-3-methylbutane
238,53428112.0,242,1-Ethoxy-2-methyl-1-isopentyloxypropane,CCOC(C(C)C)OCCC(C)C,1-(1-ethoxy-2-methylpropoxy)-3-methylbutane
239,53422438.0,243,1-Ethoxy-2-methyl-1-propoxypropane,CCCOC(C(C)C)OCC,1-ethoxy-2-methyl-1-propoxypropane
